query,country,date,clicks,impressions,ctr,position
furgo camperizada,esp,2017-09-01,0.0,6.0,0.0,5.5
furgo caravana,esp,2017-09-01,0.0,2.0,0.0,5.0
furgo equipada,esp,2017-09-01,0.0,2.0,0.0,6.0
furgo westfalia,esp,2017-09-01,0.0,2.0,0.0,7.0
furgon camper,arg,2017-09-01,0.0,1.0,0.0,1.0
furgon camper,chl,2017-09-01,0.0,2.0,0.0,2.0
furgon camper,esp,2017-09-01,0.0,7.0,0.0,6.428571428571429
furgon camperizado,esp,2017-09-01,0.0,1.0,0.0,2.0
furgon camperizado segunda mano,esp,2017-09-01,0.0,1.0,0.0,20.0
furgon caravana,usa,2017-09-01,0.0,2.0,0.0,17.0
furgon vivienda,lva,2017-09-01,0.0,1.0,0.0,51.0
furgones camperizados,esp,2017-09-01,0.0,1.0,0.0,6.0
furgones vivienda,usa,2017-09-01,0.0,1.0,0.0,46.0
furgoneta camper,esp,2017-09-01,0.0,2.0,0.0,14.5
furgoneta camper,usa,2017-09-01,0.0,1.0,0.0,32.0
furgoneta camper alquiler,esp,2017-09-01,0.0,1.0,0.0,19.0
furgoneta camper por dentro,esp,2017-09-01,0.0,1.0,0.0,1.0
furgoneta camper westfalia,esp,2017-09-01,0.0,1.0,0.0,7.0
furgoneta camperizada segunda mano,esp,2017-09-01,0.0,1.0,0.0,20.0
furgoneta camperizadas,esp,2017-09-01,0.0,1.0,0.0,12.0
furgoneta camperizar,esp,2017-09-01,0.0,1.0,0.0,6.0
furgoneta camping,esp,2017-09-01,0.0,3.0,0.0,6.333333333333333
furgoneta carabana,esp,2017-09-01,0.0,1.0,0.0,8.0
furgoneta casa,esp,2017-09-01,0.0,2.0,0.0,9.5
furgoneta casa,nld,2017-09-01,0.0,1.0,0.0,15.0
furgoneta citroen camper,esp,2017-09-01,0.0,1.0,0.0,8.0
furgoneta citroen jumper,nld,2017-09-01,0.0,1.0,0.0,35.0
furgoneta convertida en caravana,esp,2017-09-01,0.0,3.0,0.0,3.6666666666666665
furgoneta customizada,esp,2017-09-01,0.0,2.0,0.0,1.0
furgoneta ducato,esp,2017-09-01,0.0,2.0,0.0,3.5
furgoneta ducha,esp,2017-09-01,0.0,1.0,0.0,3.0
furgoneta equipada camping,esp,2017-09-01,0.0,2.0,0.0,9.5
furgoneta equipada vivienda,esp,2017-09-01,0.0,5.0,0.0,2.0
furgoneta jumpy,usa,2017-09-01,0.0,1.0,0.0,71.0
furgoneta marco polo,usa,2017-09-01,0.0,1.0,0.0,60.0
furgoneta modificada,esp,2017-09-01,0.0,2.0,0.0,1.0
furgoneta para camperizar,esp,2017-09-01,0.0,1.0,0.0,10.0
furgoneta peugeot boxer,fra,2017-09-01,0.0,1.0,0.0,16.0
furgoneta renault master,nld,2017-09-01,0.0,1.0,0.0,59.0
furgoneta vivienda,esp,2017-09-01,0.0,6.0,0.0,6.5
furgoneta vivienda en venta,usa,2017-09-01,0.0,1.0,0.0,20.0
furgonetas baratas asturias,fra,2017-09-01,0.0,1.0,0.0,57.0
furgonetas cama,zzz,2017-09-01,0.0,1.0,0.0,18.0
furgonetas camper,aut,2017-09-01,0.0,1.0,0.0,12.0
furgonetas camper,chl,2017-09-01,0.0,2.0,0.0,6.0
furgonetas camper,esp,2017-09-01,0.0,57.0,0.0,7.368421052631579
furgonetas camper,usa,2017-09-01,0.0,2.0,0.0,20.5
furgonetas camper,ven,2017-09-01,0.0,1.0,0.0,8.0
furgonetas camper alquiler,esp,2017-09-01,0.0,2.0,0.0,6.0
furgonetas camper citroen,esp,2017-09-01,0.0,1.0,0.0,5.0
furgonetas camper en madrid,esp,2017-09-01,0.0,2.0,0.0,11.5
furgonetas camper madrid,usa,2017-09-01,0.0,1.0,0.0,3.0
furgonetas camper ocasion,esp,2017-09-01,0.0,1.0,0.0,85.0
furgonetas camper por dentro,esp,2017-09-01,0.0,1.0,0.0,1.0
furgonetas camper segunda mano,lva,2017-09-01,0.0,1.0,0.0,23.0
furgonetas camper segunda mano,zzz,2017-09-01,0.0,1.0,0.0,25.0
furgonetas camper volkswagen,esp,2017-09-01,0.0,1.0,0.0,31.0
furgonetas camperas,esp,2017-09-01,0.0,1.0,0.0,6.0
furgonetas camperizadas,can,2017-09-01,0.0,1.0,0.0,7.0
furgonetas camperizadas,ury,2017-09-01,0.0,3.0,0.0,6.666666666666667
furgonetas camperizadas,ven,2017-09-01,0.0,2.0,0.0,4.0
furgonetas camperizadas madrid,esp,2017-09-01,0.0,1.0,0.0,5.0
furgonetas campers,esp,2017-09-01,0.0,2.0,0.0,5.0
furgonetas campers,fra,2017-09-01,0.0,1.0,0.0,29.0
furgonetas camping,esp,2017-09-01,0.0,1.0,0.0,7.0
furgonetas carabana,esp,2017-09-01,0.0,1.0,0.0,6.0
furgonetas caravana,fra,2017-09-01,0.0,1.0,0.0,7.0
furgonetas caravanas,esp,2017-09-01,0.0,2.0,0.0,10.0
furgonetas caravanas segunda mano,usa,2017-09-01,0.0,1.0,0.0,44.0
furgonetas casa,esp,2017-09-01,0.0,2.0,0.0,3.0
furgonetas citroen camper,esp,2017-09-01,0.0,1.0,0.0,8.0
furgonetas convertidas en casa,esp,2017-09-01,0.0,2.0,0.0,7.0
furgonetas convertidas en casa,prt,2017-09-01,0.0,1.0,0.0,8.0
furgonetas equipadas camping,esp,2017-09-01,0.0,1.0,0.0,9.0
furgonetas nissan nuevas,rus,2017-09-01,0.0,1.0,0.0,95.0
furgonetas para camping,esp,2017-09-01,0.0,3.0,0.0,4.333333333333334
furgonetas para vivir,esp,2017-09-01,0.0,3.0,0.0,3.0
furgonetas pequeñas camper,esp,2017-09-01,0.0,1.0,0.0,9.0
furgonetas pequeñas camperizadas,esp,2017-09-01,0.0,1.0,0.0,9.0
furgonetas pequeñas camperizadas,fra,2017-09-01,0.0,1.0,0.0,9.0
furgonetas peugeot boxer,esp,2017-09-01,0.0,1.0,0.0,21.0
furgonetas peugeot camper,esp,2017-09-01,0.0,1.0,0.0,10.0
furgonetas preparadas,esp,2017-09-01,0.0,4.0,0.0,5.0
furgonetas preparadas,ita,2017-09-01,0.0,1.0,0.0,3.0
furgonetas preparadas para viajar,esp,2017-09-01,0.0,1.0,0.0,6.0
furgonetas preparadas para vivir,esp,2017-09-01,0.0,3.0,0.0,7.666666666666667
furgonetas renault camper,esp,2017-09-01,0.0,1.0,0.0,6.0
furgonetas transformadas en autocaravanas,esp,2017-09-01,0.0,1.0,0.0,5.0
furgonetas van camper,esp,2017-09-01,0.0,1.0,0.0,5.0
furgonetas viaje,esp,2017-09-01,0.0,2.0,0.0,7.0
furgonetas vivienda,esp,2017-09-01,0.0,2.0,0.0,5.5
furgonetas westfalia,nld,2017-09-01,0.0,1.0,0.0,65.0
furgos,nld,2017-09-01,0.0,1.0,0.0,87.0
furgos camper,esp,2017-09-01,0.0,3.0,0.0,8.0
furgos camperizadas,esp,2017-09-01,0.0,1.0,0.0,4.0
furgos camperizadas,prt,2017-09-01,0.0,1.0,0.0,5.0
grand espace camper,esp,2017-09-01,0.0,1.0,0.0,8.0
h1 camper,esp,2017-09-01,0.0,7.0,0.0,2.571428571428571
h1 camperizada,esp,2017-09-01,0.0,3.0,0.0,3.0
h1 segunda mano,rus,2017-09-01,0.0,1.0,0.0,83.0
hacer camper furgoneta,esp,2017-09-01,0.0,2.0,0.0,5.5
homologacion vehiculo vivienda,rus,2017-09-01,0.0,1.0,0.0,72.0
homologar caravana,usa,2017-09-01,0.0,1.0,0.0,82.0
hyundai h1 4x4,esp,2017-09-01,0.0,1.0,0.0,26.0
hyundai h1 4x4 camper,deu,2017-09-01,0.0,1.0,0.0,1.0
hyundai h1 4x4 camper,esp,2017-09-01,0.0,1.0,0.0,1.0
hyundai h1 4x4 ocasion,usa,2017-09-01,0.0,1.0,0.0,25.0
hyundai h1 cama,esp,2017-09-01,0.0,2.0,0.0,2.5
hyundai h1 camper,arg,2017-09-01,0.0,1.0,0.0,9.0
hyundai h1 camper,chl,2017-09-01,0.0,1.0,0.0,6.0
hyundai h1 camper,esp,2017-09-01,0.0,13.0,0.0,4.461538461538462
hyundai h1 camper,gbr,2017-09-01,0.0,1.0,0.0,41.0
hyundai h1 camper,swe,2017-09-01,0.0,1.0,0.0,46.0
hyundai h1 camper,usa,2017-09-01,0.0,2.0,0.0,47.0
hyundai h1 camper segunda mano,esp,2017-09-01,0.0,1.0,0.0,7.0
hyundai h1 camper van,esp,2017-09-01,0.0,1.0,0.0,6.0
hyundai h100 camper,arg,2017-09-01,0.0,2.0,0.0,1.0
hyundai h100 camper,chl,2017-09-01,0.0,1.0,0.0,1.0
hyundai h100 camper,esp,2017-09-01,0.0,1.0,0.0,2.0
instalacion electrica furgoneta camper,gbr,2017-09-01,0.0,1.0,0.0,70.0
instalar ducha en furgoneta,esp,2017-09-01,0.0,3.0,0.0,9.333333333333334
interior furgo camper,esp,2017-09-01,0.0,1.0,0.0,1.0
interior furgoneta camper,esp,2017-09-01,0.0,2.0,0.0,1.0
interior furgonetas camper,esp,2017-09-01,0.0,1.0,0.0,1.0
interiores de furgonetas camper,esp,2017-09-01,0.0,1.0,0.0,4.0
interiores furgonetas camper,esp,2017-09-01,0.0,1.0,0.0,1.0
jumper camper,esp,2017-09-01,0.0,5.0,0.0,2.0
jumper l1h1 camper,deu,2017-09-01,0.0,1.0,0.0,1.0
jumpy westfalia,esp,2017-09-01,0.0,1.0,0.0,10.0
kia carnival camper,esp,2017-09-01,0.0,2.0,0.0,7.0
kit caddy,esp,2017-09-01,0.0,1.0,0.0,7.0
kit cama para renault trafic,esp,2017-09-01,0.0,1.0,0.0,6.0
kit camper,esp,2017-09-01,0.0,1.0,0.0,20.0
kit camper ford tourneo,esp,2017-09-01,0.0,3.0,0.0,9.333333333333334
kit camper ford transit custom,esp,2017-09-01,0.0,1.0,0.0,13.0
kit camper jumpy,esp,2017-09-01,0.0,2.0,0.0,2.0
kit camper nissan primastar,and,2017-09-01,0.0,1.0,0.0,8.0
kit camper segunda mano,esp,2017-09-01,0.0,2.0,0.0,9.0
kit camper transporter,esp,2017-09-01,0.0,1.0,0.0,20.0
kit camper vivaro,esp,2017-09-01,0.0,3.0,0.0,6.0
kit camper volkswagen,esp,2017-09-01,0.0,1.0,0.0,6.0
kit furgomania segunda mano,esp,2017-09-01,0.0,2.0,0.0,10.0
kit para camperizar furgonetas,esp,2017-09-01,0.0,1.0,0.0,21.0
l1h1 camper,esp,2017-09-01,0.0,3.0,0.0,5.666666666666667
l2h2 camper,esp,2017-09-01,0.0,2.0,0.0,1.5
l3h2 camper,esp,2017-09-01,0.0,1.0,0.0,2.0
la mejor furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,8.0
litera vw t5,esp,2017-09-01,0.0,1.0,0.0,3.0
lodgy camper,deu,2017-09-01,0.0,2.0,0.0,1.0
mantenimiento dacia pontevedra,bra,2017-09-01,0.0,2.0,0.0,75.5
marcas de furgonetas camper,esp,2017-09-01,0.0,1.0,0.0,9.0
mejor furgoneta calidad precio,fra,2017-09-01,0.0,1.0,0.0,52.0
mejor furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,10.0
mejor furgoneta camper calidad precio,rus,2017-09-01,0.0,1.0,0.0,15.0
mejor furgoneta camper calidad precio,usa,2017-09-01,0.0,1.0,0.0,14.0
mercedes marco polo ducha,esp,2017-09-01,0.0,1.0,0.0,1.0
mercedes vito camper,esp,2017-09-01,0.0,1.0,0.0,3.0
mercedes vito camper 2017,esp,2017-09-01,0.0,2.0,0.0,4.5
mercedes vito camperizada,esp,2017-09-01,0.0,8.0,0.0,1.875
mercedes vito camperizadas,esp,2017-09-01,0.0,1.0,0.0,3.0
mercedes vito westfalia,usa,2017-09-01,0.0,1.0,0.0,32.0
microondas camper,esp,2017-09-01,0.0,1.0,0.0,3.0
mobiliario camper,esp,2017-09-01,0.0,3.0,0.0,3.3333333333333335
modelos de furgonetas camper,usa,2017-09-01,0.0,2.0,0.0,18.5
monovolumen camper,esp,2017-09-01,0.0,2.0,0.0,1.0
montar furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,4.0
movano camper,esp,2017-09-01,0.0,1.0,0.0,1.0
mueble cama camper,esp,2017-09-01,0.0,1.0,0.0,1.0
mueble cama furgoneta,esp,2017-09-01,0.0,3.0,0.0,1.0
mueble camper vito,esp,2017-09-01,0.0,2.0,0.0,1.0
mueble cocina camper,esp,2017-09-01,0.0,1.0,0.0,1.0
mueble cocina furgoneta,esp,2017-09-01,0.0,1.0,0.0,1.0
muebles camper hyundai h1,esp,2017-09-01,0.0,2.0,0.0,3.5
muebles camper mercedes vito,esp,2017-09-01,0.0,2.0,0.0,10.0
muebles camper opel vivaro,esp,2017-09-01,0.0,3.0,0.0,4.666666666666666
muebles camper vw t4,esp,2017-09-01,0.0,1.0,0.0,2.0
muebles opel vivaro,esp,2017-09-01,0.0,1.0,0.0,2.0
muebles para renault trafic,esp,2017-09-01,0.0,1.0,0.0,17.0
muebles renault trafic,esp,2017-09-01,0.0,1.0,0.0,2.0
muebles vw t4,esp,2017-09-01,0.0,1.0,0.0,1.0
mundo furgo,esp,2017-09-01,0.0,1.0,0.0,4.0
mundo furgoneta,esp,2017-09-01,0.0,2.0,0.0,9.0
nevera westfalia,fra,2017-09-01,0.0,1.0,0.0,90.0
nissan evalia camper,ita,2017-09-01,0.0,2.0,0.0,9.0
nissan evalia camper,usa,2017-09-01,0.0,2.0,0.0,70.0
nissan evalia camper precio,esp,2017-09-01,0.0,6.0,0.0,7.166666666666667
nissan evalia camperizada,esp,2017-09-01,0.0,1.0,0.0,7.0
nissan evalia camperizzato,ita,2017-09-01,0.0,1.0,0.0,9.0
nissan evalia camping,esp,2017-09-01,0.0,1.0,0.0,83.0
nissan evalia camping,usa,2017-09-01,0.0,1.0,0.0,70.0
nissan interstar camper,esp,2017-09-01,0.0,1.0,0.0,8.0
nissan nv camper,esp,2017-09-01,0.0,5.0,0.0,6.0
nissan nv camper,usa,2017-09-01,0.0,1.0,0.0,95.0
nissan nv200 camper,usa,2017-09-01,0.0,1.0,0.0,98.0
nissan nv200 camper precio,esp,2017-09-01,0.0,3.0,0.0,8.333333333333332
nissan nv200 camperizada,esp,2017-09-01,0.0,5.0,0.0,7.2
nissan nv200 camping,swe,2017-09-01,0.0,1.0,0.0,80.0
nissan nv200 evalia camper,esp,2017-09-01,0.0,3.0,0.0,5.666666666666667
nissan nv200 evalia camper,ita,2017-09-01,0.0,4.0,0.0,7.5
nissan primastar camper,col,2017-09-01,0.0,1.0,0.0,1.0
nissan primastar camper precio,esp,2017-09-01,0.0,2.0,0.0,7.0
nissan primastar camperizada,esp,2017-09-01,0.0,1.0,0.0,2.0
nissan primastar camping,swe,2017-09-01,0.0,1.0,0.0,66.0
nissan primastar camping,usa,2017-09-01,0.0,1.0,0.0,60.0
nissan sv 200 camper,esp,2017-09-01,0.0,2.0,0.0,9.5
nissan vn 200 camper,esp,2017-09-01,0.0,1.0,0.0,10.0
nueva jumpy camper,arg,2017-09-01,0.0,1.0,0.0,1.0
nueva jumpy camper,esp,2017-09-01,0.0,1.0,0.0,6.0
nv200 camper,fra,2017-09-01,0.0,1.0,0.0,3.0
nv200 camper,usa,2017-09-01,0.0,2.0,0.0,93.5
nv200 camper,zzz,2017-09-01,0.0,1.0,0.0,94.0
nv200 camperizada,esp,2017-09-01,0.0,2.0,0.0,8.0
opel movano camper,esp,2017-09-01,0.0,2.0,0.0,2.5
opel vivaro cama,esp,2017-09-01,0.0,1.0,0.0,1.0
opel vivaro camper,esp,2017-09-01,0.0,2.0,0.0,9.5
opel vivaro camper 2017,esp,2017-09-01,0.0,4.0,0.0,7.0
opel vivaro camper precio,esp,2017-09-01,0.0,1.0,0.0,8.0
opel vivaro camper precio nueva,esp,2017-09-01,0.0,2.0,0.0,6.0
opel vivaro camper precio nueva,fra,2017-09-01,0.0,1.0,0.0,6.0
opel vivaro camperizada,esp,2017-09-01,0.0,1.0,0.0,2.0
parasoles termicos renault trafic,esp,2017-09-01,0.0,1.0,0.0,48.0
peugeot boxer camper,esp,2017-09-01,0.0,8.0,0.0,9.75
peugeot camper,esp,2017-09-01,0.0,2.0,0.0,10.0
poti para furgonetas,esp,2017-09-01,0.0,1.0,0.0,4.0
precio camperizar citroen jumper,esp,2017-09-01,0.0,1.0,0.0,8.0
precio de camperizar una furgoneta,esp,2017-09-01,0.0,1.0,0.0,10.0
precio nissan evalia camper,esp,2017-09-01,0.0,1.0,0.0,7.0
precio nissan nv200 camper,esp,2017-09-01,0.0,2.0,0.0,8.0
precio renault trafic camper nueva,esp,2017-09-01,0.0,3.0,0.0,8.333333333333332
preparacion furgonetas camper,esp,2017-09-01,0.0,1.0,0.0,2.0
preparadores de furgonetas,sau,2017-09-01,0.0,1.0,0.0,3.0
preparar furgoneta,esp,2017-09-01,0.0,1.0,0.0,5.0
preparar furgonetas para camping,esp,2017-09-01,0.0,1.0,0.0,7.0
presupuesto camperizar furgoneta,esp,2017-09-01,0.0,2.0,0.0,10.0
reformar furgoneta autocaravana,esp,2017-09-01,0.0,1.0,0.0,3.0
renault camper 2017,esp,2017-09-01,0.0,1.0,0.0,7.0
renault espace camper,esp,2017-09-01,0.0,1.0,0.0,9.0
renault espace camperizada,esp,2017-09-01,0.0,1.0,0.0,1.0
renault master camper segunda mano,esp,2017-09-01,0.0,3.0,0.0,8.666666666666668
renault master caravana,esp,2017-09-01,0.0,1.0,0.0,8.0
renault master l2h2 camper,esp,2017-09-01,0.0,2.0,0.0,1.0
renault trafic 2016 camper,esp,2017-09-01,0.0,2.0,0.0,2.5
renault trafic 2017 camper,esp,2017-09-01,0.0,2.0,0.0,6.0
renault trafic camper,esp,2017-09-01,0.0,9.0,0.0,4.666666666666666
renault trafic camper,usa,2017-09-01,0.0,1.0,0.0,2.0
renault trafic camper 2016,esp,2017-09-01,0.0,1.0,0.0,2.0
renault trafic camper nueva precio,esp,2017-09-01,0.0,1.0,0.0,7.0
renault trafic camper precio,esp,2017-09-01,0.0,2.0,0.0,9.5
renault trafic camper precios,esp,2017-09-01,0.0,6.0,0.0,8.5
renault trafic camperizada,esp,2017-09-01,0.0,5.0,0.0,2.0
renault trafic caravan,esp,2017-09-01,0.0,1.0,0.0,7.0
renault trafic horizon van occasion,esp,2017-09-01,0.0,1.0,0.0,9.0
renault transit camper,esp,2017-09-01,0.0,1.0,0.0,10.0
requisitos para camperizar una furgoneta,esp,2017-09-01,0.0,1.0,0.0,10.0
scudo camper,esp,2017-09-01,0.0,1.0,0.0,1.0
seguro camper,usa,2017-09-01,0.0,2.0,0.0,28.0
seguro de camper,usa,2017-09-01,0.0,1.0,0.0,29.0
seguro furgon vivienda,esp,2017-09-01,0.0,2.0,0.0,24.5
seguro furgoneta camper,esp,2017-09-01,0.0,2.0,0.0,19.5
seguro furgoneta camperizada,usa,2017-09-01,0.0,2.0,0.0,15.5
seguro para camper,usa,2017-09-01,0.0,2.0,0.0,18.0
seguro para furgonetas camper,usa,2017-09-01,0.0,2.0,0.0,19.5
seguros furgo camper,usa,2017-09-01,0.0,2.0,0.0,26.5
seguros para campers,usa,2017-09-01,0.0,2.0,0.0,29.0
seguros para furgonetas camper,usa,2017-09-01,0.0,2.0,0.0,22.0
seguros para furgonetas combi,usa,2017-09-01,0.0,1.0,0.0,24.0
sofa cama camper,esp,2017-09-01,0.0,2.0,0.0,9.5
sofa cama para furgoneta,esp,2017-09-01,0.0,1.0,0.0,7.0
sofa cama para furgoneta,usa,2017-09-01,0.0,1.0,0.0,8.0
ssangyong rodius camper conversion,esp,2017-09-01,0.0,3.0,0.0,1.0
suelos para furgonetas,esp,2017-09-01,0.0,1.0,0.0,2.0
suelos para furgonetas camper,esp,2017-09-01,0.0,1.0,0.0,1.0
t5 camperizada,ita,2017-09-01,0.0,1.0,0.0,1.0
taller camperizacion,esp,2017-09-01,0.0,3.0,0.0,6.333333333333333
talleres para camperizar furgonetas,esp,2017-09-01,0.0,1.0,0.0,8.0
tapizar furgoneta interior,esp,2017-09-01,0.0,1.0,0.0,2.0
techo interior mercedes vito,esp,2017-09-01,0.0,1.0,0.0,3.0
techos westfalia,usa,2017-09-01,0.0,1.0,0.0,59.0
todo camper,esp,2017-09-01,0.0,1.0,0.0,10.0
trafic camper 2017,esp,2017-09-01,0.0,1.0,0.0,6.0
trafic camperizada,esp,2017-09-01,0.0,3.0,0.0,2.666666666666667
transformacion de furgonetas en camper,esp,2017-09-01,0.0,1.0,0.0,1.0
transformar furgoneta en camper,esp,2017-09-01,0.0,4.0,0.0,1.0
transformar furgoneta en caravana,esp,2017-09-01,0.0,1.0,0.0,2.0
transit custom camper,esp,2017-09-01,0.0,1.0,0.0,9.0
transporter camperizada,esp,2017-09-01,0.0,6.0,0.0,2.0
transporter camperizada,per,2017-09-01,0.0,2.0,0.0,1.0
tunear furgoneta,esp,2017-09-01,0.0,5.0,0.0,5.0
vehiculo boxer,esp,2017-09-01,0.0,1.0,0.0,88.0
vehiculos camper,esp,2017-09-01,0.0,1.0,0.0,2.0
venta furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,30.0
venta furgonetas camper madrid,esp,2017-09-01,0.0,1.0,0.0,2.0
vinilos para furgonetas camper,esp,2017-09-01,0.0,3.0,0.0,1.0
vito camper,che,2017-09-01,0.0,1.0,0.0,2.0
vito camper,esp,2017-09-01,0.0,14.0,0.0,2.0
vito camperizada,esp,2017-09-01,0.0,11.0,0.0,1.3636363636363638
vivaro camperizada,esp,2017-09-01,0.0,5.0,0.0,9.6
vivaro camperizada,imn,2017-09-01,0.0,1.0,0.0,1.0
volkswagen caddy camper,esp,2017-09-01,0.0,1.0,0.0,26.0
volkswagen camperizada,esp,2017-09-01,0.0,6.0,0.0,2.0
volkswagen furgoneta camper,usa,2017-09-01,0.0,1.0,0.0,73.0
volkswagen transporter camperizada,esp,2017-09-01,0.0,3.0,0.0,2.0
voyager camperizada,esp,2017-09-01,0.0,1.0,0.0,1.0
vw california westfalia,usa,2017-09-01,0.0,1.0,0.0,51.0
vw transporter camperizada,esp,2017-09-01,0.0,2.0,0.0,2.0
