query,country,date,clicks,impressions,ctr,position
mi camper.es,esp,2017-09-01,1.0,1.0,1.0,1.0
micamper,gbr,2017-09-01,1.0,1.0,1.0,1.0
muebles dacia dokker,esp,2017-09-01,1.0,3.0,0.3333333333333333,3.0
mundo furgonetas,esp,2017-09-01,1.0,2.0,0.5,9.5
nissan evalia camper,esp,2017-09-01,1.0,26.0,0.038461538461538464,7.115384615384615
nissan nv200 camper segunda mano,esp,2017-09-01,1.0,1.0,1.0,17.0
nissan primastar camper,esp,2017-09-01,1.0,9.0,0.1111111111111111,4.555555555555555
nueva citroen jumpy camper,esp,2017-09-01,1.0,5.0,0.2,1.0
nv200 camper,esp,2017-09-01,1.0,23.0,0.043478260869565216,5.478260869565218
preparar vw transporter para camping,per,2017-09-01,1.0,1.0,1.0,7.0
primastar camper,esp,2017-09-01,1.0,6.0,0.16666666666666666,5.5
renault trafic camper nueva,esp,2017-09-01,1.0,5.0,0.2,6.2
renault trafic horizon,esp,2017-09-01,1.0,1.0,1.0,6.0
renault trafic horizon van,esp,2017-09-01,1.0,7.0,0.14285714285714285,6.142857142857143
renault trafic horizon van precio,esp,2017-09-01,1.0,2.0,0.5,7.5
transformacion furgonetas,esp,2017-09-01,1.0,1.0,1.0,5.0
transit connect camper,esp,2017-09-01,1.0,2.0,0.5,2.5
venta de furgonetas camper,esp,2017-09-01,1.0,1.0,1.0,16.0
voyager camper,esp,2017-09-01,1.0,1.0,1.0,1.0
accesorios camper furgonetas,nld,2017-09-01,0.0,1.0,0.0,51.0
accesorios camperizar furgoneta,esp,2017-09-01,0.0,1.0,0.0,13.0
accesorios dacia pontevedra,bra,2017-09-01,0.0,1.0,0.0,45.0
accesorios furgoneta camper,esp,2017-09-01,0.0,1.0,0.0,10.0
accesorios furgonetas,usa,2017-09-01,0.0,1.0,0.0,82.0
accesorios hyundai ourense,ita,2017-09-01,0.0,1.0,0.0,72.0
accesorios hyundai ourense,jam,2017-09-01,0.0,1.0,0.0,74.0
accesorios hyundai pontevedra,gbr,2017-09-01,0.0,1.0,0.0,63.0
accesorios para camper,arg,2017-09-01,0.0,1.0,0.0,4.0
accesorios para camperizar furgonetas,swe,2017-09-01,0.0,1.0,0.0,6.0
accesorios para furgonetas camper,esp,2017-09-01,0.0,2.0,0.0,9.0
accesorios para furgonetas camper,usa,2017-09-01,0.0,1.0,0.0,9.0
accesorios renault pontevedra,prt,2017-09-01,0.0,1.0,0.0,69.0
adaptar furgoneta para camping,deu,2017-09-01,0.0,1.0,0.0,1.0
aire acondicionado camper,esp,2017-09-01,0.0,1.0,0.0,31.0
aire acondicionado estacionario,esp,2017-09-01,0.0,1.0,0.0,7.0
aire acondicionado para camper,mex,2017-09-01,0.0,1.0,0.0,1.0
aislante termico furgoneta,esp,2017-09-01,0.0,5.0,0.0,6.2
alquilar furgoneta camper,esp,2017-09-01,0.0,2.0,0.0,6.0
alquilar furgoneta camper barcelona,usa,2017-09-01,0.0,1.0,0.0,76.0
alquiler camper madrid,chl,2017-09-01,0.0,1.0,0.0,95.0
alquiler camper madrid,usa,2017-09-01,0.0,1.0,0.0,87.0
alquiler de camper,esp,2017-09-01,0.0,1.0,0.0,10.0
alquiler de camper,usa,2017-09-01,0.0,1.0,0.0,19.0
alquiler de camper madrid,ven,2017-09-01,0.0,1.0,0.0,89.0
alquiler de furgonetas,esp,2017-09-01,0.0,1.0,0.0,1.0
alquiler de furgonetas camper,esp,2017-09-01,0.0,1.0,0.0,6.0
alquiler de furgonetas camper,rus,2017-09-01,0.0,1.0,0.0,20.0
alquiler de furgonetas en toledo,usa,2017-09-01,0.0,1.0,0.0,101.0
alquiler furgo camper,esp,2017-09-01,0.0,1.0,0.0,5.0
alquiler furgo camper,usa,2017-09-01,0.0,1.0,0.0,21.0
